nodeName	altName	nodeAttr[nodesPresent, ]
GS1_SS_00706_10199	NA	darkseagreen3
GS1_SS_00709_12621	NA	lavender
GS1_SS_00712_01952	NA	darkviolet
GS1_SS_00713_08511	NA	coral4
GS1_SS_00718_07593	NA	cornflowerblue
GS1_SS_00719_16072	NA	blue1
GS1_SS_00720_03518	NA	coral4
GS1_SS_00722_11341	NA	cornflowerblue
GS1_SS_00726_11946	NA	lightskyblue4
GS1_SS_00739_13132	NA	cornflowerblue
GS1_SS_00740_08762	NA	darkviolet
GS1_SS_00741_02287	NA	blue1
GS1_SS_00743_08174	NA	lightskyblue4
GS1_SS_00746_10054	NA	cornflowerblue
GS1_SS_00748_05585	NA	lavender
GS1_SS_00752_15697	NA	lavender
GS1_SS_00756_00145	NA	blue1
GS1_SS_00757_20561	NA	darkviolet
GS1_SS_00761_04084	NA	lightskyblue4
GS1_SS_00762_13706	NA	lightskyblue4
GS1_SS_00763_11676	NA	lightskyblue4
GS1_SS_00764_21538	NA	cornflowerblue
GS1_SS_00782_10858	NA	lavender
GS1_SS_00786_13049	NA	darkviolet
GS1_SS_00792_15870	NA	coral4
GS1_SS_00795_12595	NA	coral4
GS1_SS_00799_10234	NA	cornflowerblue
GS1_SS_00807_20656	NA	lavender
GS1_SS_00808_05136	NA	lightskyblue3
GS1_SS_00809_14652	NA	lavender
GS1_SS_00811_00697	NA	lightskyblue4
GS1_SS_00814_18526	NA	blue1
GS1_SS_00817_15125	NA	cornflowerblue
GS1_SS_00821_20306	NA	coral4
GS1_SS_00826_08079	NA	cornflowerblue
GS1_SS_00828_09037	NA	coral4
GS1_SS_00829_08970	NA	blue1
GS1_SS_00831_18504	NA	lavender
GS1_SS_00836_18856	NA	lightpink3
GS1_SS_00846_08805	NA	antiquewhite2
GS1_SS_00847_08886	NA	cornflowerblue
GS1_SS_00858_12489	NA	coral4
GS1_SS_00859_15106	NA	lavender
GS1_SS_00861_09410	NA	cornflowerblue
GS1_SS_00870_06146	NA	darkviolet
GS1_SS_00871_17246	NA	lightskyblue4
GS1_SS_00876_18113	NA	plum3
GS1_SS_00886_16905	NA	darkviolet
GS1_SS_00890_18656	NA	cornflowerblue
GS1_SS_00891_09071	NA	lightskyblue4
GS1_SS_00893_15863	NA	lavender
GS1_SS_00897_19402	NA	darkviolet
GS1_SS_00899_08808	NA	lavender
GS1_SS_00902_02110	NA	lavender
GS1_SS_00904_10764	NA	coral4
GS1_SS_00911_21085	NA	coral4
GS1_SS_00913_18831	NA	coral4
GS1_SS_00915_16883	NA	lightskyblue4
GS1_SS_00916_19267	NA	antiquewhite2
GS1_SS_00940_09958	NA	lavender
GS1_SS_00942_07803	NA	blue1
GS1_SS_00949_18016	NA	blue1
GS1_SS_00953_17560	NA	blue1
GS1_SS_00958_09209	NA	lavender
GS1_SS_00973_12442	NA	lavender
GS1_SS_00974_17785	NA	coral4
GS1_SS_00983_10884	NA	cornflowerblue
GS1_SS_00984_05811	NA	lightskyblue4
GS1_SS_00985_09355	NA	darkviolet
GS1_SS_00987_13482	NA	darkseagreen3
GS1_SS_00989_03547	NA	blue1
GS1_SS_00991_07040	NA	lightskyblue4
GS1_SS_00992_07996	NA	lavender
GS1_SS_00994_12094	NA	cornflowerblue
GS1_SS_01002_21336	NA	lavender
GS1_SS_01003_03776	NA	darkviolet
GS1_SS_01009_16074	NA	blue1
GS1_SS_01011_06214	NA	lightskyblue4
GS1_SS_01013_21577	NA	lightpink3
GS1_SS_01014_11078	NA	darkviolet
GS1_SS_01019_20191	NA	lavender
GS1_SS_01021_13234	NA	blue1
GS1_SS_01022_02479	NA	blue1
GS1_SS_01025_07388	NA	lavender
GS1_SS_01026_12282	NA	coral4
GS1_SS_01029_13458	NA	cornflowerblue
GS1_SS_01032_02370	NA	blue1
GS1_SS_01038_02036	NA	darkviolet
GS1_SS_01040_14561	NA	cornflowerblue
