ProbeName	ZT23a	ZT01a	ZT03a	ZT05a	ZT07a	ZT09a	ZT11a	ZT13a	ZT15a	ZT17a	ZT19a	ZT21a	ZT23b	ZT01b
GS1_SS_13053_10192	-0.56455	1.29	0.6155	0.2655	-0.1545	-0.66015	-2.0995	-2.115	-0.4665	-0.829	0.73118	0.00881	-0.3265	1.27427
GS1_SS_13056_18398	0.11835	0.26	0.1391	0.0785	-0.204	0.01896	-0.0607	0.16335	0.2675	0.245	0.179	0.0696	0.047	-0.1456
GS1_SS_13059_18286	0.071	-0.0121	-0.01575	-0.01725	-0.13015	-0.03302	-0.1583	0.00623	0.00365	0.0015	0.0413	0.289	0.2735	0.17705
GS1_SS_13060_00093	0.1683	-0.068515	0.3085	0.13	0.222	-0.2795	-0.353	-0.228	-0.0786	-0.0512	-0.14543	0.0589	0.1975	0.1191
GS1_SS_13063_10454	0.14055	0.1345	0.19	-0.451	-1.38	-1.055	-0.5395	-0.2965	-0.2665	-0.05645	0.1865	0.422	0.6435	0.6155
GS1_SS_13064_16343	0.040155	0.194	-0.020475	0.04985	-0.064	-0.295	-0.0215	0.12645	0.0055	-0.0125	0.056	0.265	0.15385	0.249
GS1_SS_13066_17534	-0.3365	-0.3335	-0.118	0.0356	0.2045	0.282	0.3495	0.2815	0.3375	0.0875	0.0145	0.319	-0.1635	0.054
GS1_SS_13067_02136	0.016639	-0.14055	-0.0855	-0.6845	-0.8385	-0.2238	0.204	0.3115	-0.035	0.062	0.006765	0.128	0.226	0.4065
GS1_SS_13068_14713	0.3135	-0.02015	-1.132	0.0155	-0.116	-0.104	0.169035	0.3175	-0.006	0.093	0.4845	-0.533	-0.387	-0.11
GS1_SS_13069_07546	0.08455	-0.0586	-0.597	0.2587	0.1055	0.1775	0.528	0.599	0.31745	-0.129	-0.302	-0.402	-0.0325	0.04115
GS1_SS_13071_14033	-0.0505	0.3835	0.448	0.566	0.4125	0.3845	-0.165	-0.755	-0.608	-0.6375	-0.446	-0.596	-0.005	0.4925
GS1_SS_13076_11186	-0.00185	0.03829	0.1122	0.0262	0.186	0.4415	0.3585	0.1272	0.0888	-0.1473	-0.1048	-0.215	-0.2345	-0.312
GS1_SS_13077_09478	0.2115	0.6075	0.834	0.632	0.221	-0.197	-0.593	-0.8585	-0.62	-0.279	-0.2395	-0.111	0.1655	0.6585
GS1_SS_13081_20949	-0.767	-0.4359	-0.196	0.448	0.61	0.4737	0.6015	-0.0885	-0.862	-0.4836	-0.306	-0.17	-0.403	-0.02285
GS1_SS_13083_06758	-0.16045	-0.264	-0.1552	0.2287	0.582	0.459	0.3055	0.31865	0.4545	0.0918	-0.0203	-0.117	-0.442	-0.179
GS1_SS_13086_10356	0.104	-0.324	-0.6185	-0.044	-0.4275	-0.475	0.0095	0.067	-0.218	0.1125	0.0105	0.675	0.179	-0.0105
GS1_SS_13089_17233	0.5675	0.627	0.015	-0.44	-1.475	-1.4	-0.5575	-0.07075	0.5795	0.5435	0.623	0.106	0.2815	0.7515
GS1_SS_13090_20575	0.05305	0.04395	0.03855	0.12685	-0.1614	-0.2414	-0.3085	-0.249	-0.07115	-0.03525	0.12715	0.32	0.2975	0.174
GS1_SS_13092_14922	0.21825	0.11765	-0.1655	0.2195	-0.11225	-0.028875	-0.0605	0.296	0.456	0.19365	0.3335	0.237	-0.01825	-0.2375
GS1_SS_13093_20865	0.08165	0.313	1.1945	1.6	1.16	-0.8825	-2.55	-2.5	-1.265	-1.1465	-0.9795	-0.798	-0.0795	0.4765
GS1_SS_13094_04994	0.1799	0.2996	0.4485	0.591	0.130235	0.1435	0.0892	0.0165	0.04455	-0.0702	-0.0365	0.248	0.0235	-0.019
GS1_SS_13099_09735	-0.03185	-0.2245	-0.243	-0.7405	-0.446	0.1722	-0.053	0.2205	0.6765	0.539	0.149	-0.234	-0.28655	-0.525
GS1_SS_13100_03376	-1.195	-0.7315	-0.17745	0.695	1.0355	0.78	0.399	0.031645	-0.5305	-0.421	-0.8065	-0.685	-0.6185	-0.18155
GS1_SS_13101_02316	0.023	-0.182	-0.1155	0.435	-0.012	0.0035	0.0435	-0.1705	-0.315	-0.24	-0.0475	0.202	0.118	-0.02
GS1_SS_13102_10749	-0.0054	0.2825	0.032	0.322	-0.0919865	-0.129	0.11257	0.3525	0.0005	-0.0389	0.0586	0.0986	0.0848	0.274
GS1_SS_13104_15620	-0.8665	-1.0095	-1.21	0.286	0.428	0.907	1.205	0.7465	-0.012	-0.2255	-0.376	-1.34	-0.6415	-1.145
GS1_SS_13105_19497	0.05635	0.037	-0.12968	-0.3335	-0.256	-0.04955	-0.1459	0.247	0.4345	0.28	0.14555	0.164	0.164	0.10965
GS1_SS_13108_02336	-0.921	-0.7965	-0.2255	1.08	0.876	0.4495	0.3725	0.145	-0.08575	-0.644	-0.6425	-1	-1.0705	-0.7995
GS1_SS_13116_09850	0.23535	-0.262	-0.5045	0.4044	-0.6265	-0.6355	-0.10415	-0.341	-0.0075	-0.077	-0.03725	0.402	0.4027	0.781
